,return,allocation,cum_ret
2018-05-07,0.0033831250726170654,"[np.float64(0.9999999999999991), np.float64(3.1447228184075954e-16), np.float64(0.0), np.float64(1.876330947881137e-16), np.float64(3.1356165343914853e-16), np.float64(6.591949208711867e-17), np.float64(1.5653705047986068e-16), np.float64(1.5053114412203954e-16), np.float64(0.0)]",0.004230773578353775
2018-05-08,7.188536319428387e-19,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.004230773578353775
2018-05-09,0.009665751537475845,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.013937418722049344
2018-05-10,0.00935057276510887,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.023418314335076573
2018-05-11,0.003051483694443303,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.026541258633864695
2018-05-14,0.00047672025576961304,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.027030631645238667
2018-05-15,-0.0068872324328037625,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.019957232969488592
2018-05-16,0.004205059867693487,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.024246214196612215
2018-05-17,-0.0008449618657204726,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.023380765204507492
2018-05-18,-0.00249989367151926,"[np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(8.44410199708007e-17), np.float64(0.0), np.float64(3.400058012914542e-16), np.float64(5.4231813514483607e-17), np.float64(2.6139166830412774e-17), np.float64(0.0)]",0.020822422106018257
